pi_stress --duration=5 
04-06-2018 22:25:03

# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | /  _----=> need-resched_lazy
#                            || / _---=> hardirq/softirq
#                            ||| / _--=> preempt-depth
#                            |||| /     delay
#           TASK-PID   CPU#  |||||    TIMESTAMP  FUNCTION
#              | |       |   |||||       |         |
       ftrace.sh-2200  [000] ....... 182354.728461: rt_spin_unlock <-__close_fd
       ftrace.sh-2200  [000] ....... 182354.728462: filp_close <-__close_fd
       ftrace.sh-2200  [000] ....... 182354.728463: dnotify_flush <-filp_close
       ftrace.sh-2200  [000] ....... 182354.728464: locks_remove_posix <-filp_close
       ftrace.sh-2200  [000] ....... 182354.728466: fput <-filp_close
       ftrace.sh-2200  [000] ....... 182354.728484: SyS_rt_sigprocmask <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728498: SyS_rt_sigprocmask <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728512: SyS_rt_sigprocmask <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728643: SyS_rt_sigprocmask <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728646: sigprocmask <-SyS_rt_sigprocmask
       ftrace.sh-2200  [000] ....... 182354.728648: __set_current_blocked <-sigprocmask
       ftrace.sh-2200  [000] ....... 182354.728650: rt_spin_lock <-__set_current_blocked
       ftrace.sh-2200  [000] ....... 182354.728651: __set_task_blocked <-__set_current_blocked
       ftrace.sh-2200  [000] ....... 182354.728653: recalc_sigpending <-__set_task_blocked
       ftrace.sh-2200  [000] ....... 182354.728655: recalc_sigpending_tsk <-recalc_sigpending
       ftrace.sh-2200  [000] ....... 182354.728657: rt_spin_unlock <-__set_current_blocked
       ftrace.sh-2200  [000] ....... 182354.728661: SyS_rt_sigprocmask <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728663: sigprocmask <-SyS_rt_sigprocmask
       ftrace.sh-2200  [000] ....... 182354.728664: __set_current_blocked <-sigprocmask
       ftrace.sh-2200  [000] ....... 182354.728666: SyS_rt_sigprocmask <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728667: sigprocmask <-SyS_rt_sigprocmask
       ftrace.sh-2200  [000] ....... 182354.728668: __set_current_blocked <-sigprocmask
       ftrace.sh-2200  [000] ....... 182354.728673: SyS_llseek <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728675: __fdget_pos <-SyS_llseek
       ftrace.sh-2200  [000] ....... 182354.728676: __fget_light <-__fdget_pos
       ftrace.sh-2200  [000] ....... 182354.728679: ext4_llseek <-SyS_llseek
       ftrace.sh-2200  [000] ....... 182354.728682: preempt_count_add <-ext4_llseek
       ftrace.sh-2200  [000] ....1.. 182354.728684: preempt_count_sub <-ext4_llseek
       ftrace.sh-2200  [000] ....... 182354.728686: generic_file_llseek_size <-ext4_llseek
       ftrace.sh-2200  [000] ....... 182354.728688: rt_spin_lock <-generic_file_llseek_size
       ftrace.sh-2200  [000] ....... 182354.728689: rt_spin_unlock <-generic_file_llseek_size
       ftrace.sh-2200  [000] ....... 182354.728695: SyS_clone <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728697: _do_fork <-SyS_clone
       ftrace.sh-2200  [000] ....... 182354.728699: copy_process.part.5 <-_do_fork
       ftrace.sh-2200  [000] ....... 182354.728702: tsk_fork_get_node <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728704: kmem_cache_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728707: __alloc_pages_nodemask <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728709: get_page_from_freelist <-__alloc_pages_nodemask
       ftrace.sh-2200  [000] ....... 182354.728712: __zone_watermark_ok <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728716: rt_spin_lock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728717: rt_spin_lock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728719: __rmqueue <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728725: rt_spin_unlock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728726: preempt_count_add <-get_page_from_freelist
       ftrace.sh-2200  [000] ....1.. 182354.728728: preempt_count_sub <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728730: rt_spin_unlock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728732: kernel_poison_pages <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728735: page_address <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728737: arch_dup_task_struct <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728745: get_random_u32 <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728747: _warn_unseeded_randomness <-get_random_u32
       ftrace.sh-2200  [000] ....... 182354.728750: rt_spin_lock <-get_random_u32
       ftrace.sh-2200  [000] ....... 182354.728751: rt_spin_unlock <-get_random_u32
       ftrace.sh-2200  [000] ....... 182354.728753: account_kernel_stack <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728757: copy_creds <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728759: prepare_creds <-copy_creds
       ftrace.sh-2200  [000] ....... 182354.728760: kmem_cache_alloc <-prepare_creds
       ftrace.sh-2200  [000] ....... 182354.728765: security_prepare_creds <-prepare_creds
       ftrace.sh-2200  [000] ....... 182354.728767: apparmor_cred_prepare <-security_prepare_creds
       ftrace.sh-2200  [000] ....... 182354.728769: aa_alloc_task_context <-apparmor_cred_prepare
       ftrace.sh-2200  [000] ....... 182354.728770: kmem_cache_alloc_trace <-aa_alloc_task_context
       ftrace.sh-2200  [000] ....... 182354.728772: aa_dup_task_context <-apparmor_cred_prepare
       ftrace.sh-2200  [000] ....... 182354.728775: key_put <-copy_creds
       ftrace.sh-2200  [000] ....... 182354.728777: __delayacct_tsk_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728779: kmem_cache_alloc <-__delayacct_tsk_init
       ftrace.sh-2200  [000] ....... 182354.728782: __rt_mutex_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728783: __rt_spin_lock_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728785: acct_clear_integrals <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728786: ktime_get <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728788: clocksource_read_cycles <-ktime_get
       ftrace.sh-2200  [000] ....... 182354.728790: ktime_get_with_offset <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728797: clocksource_read_cycles <-ktime_get_with_offset
       ftrace.sh-2200  [000] ....... 182354.728799: cgroup_fork <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728801: sched_fork <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728802: preempt_count_add <-sched_fork
       ftrace.sh-2200  [000] ....1.. 182354.728804: __sched_fork.constprop.26 <-sched_fork
       ftrace.sh-2200  [000] ....1.. 182354.728806: init_dl_task_timer <-__sched_fork.constprop.26
       ftrace.sh-2200  [000] ....1.. 182354.728807: hrtimer_init <-init_dl_task_timer
       ftrace.sh-2200  [000] ....1.. 182354.728809: __hrtimer_init <-hrtimer_init
       ftrace.sh-2200  [000] ....1.. 182354.728811: init_dl_inactive_task_timer <-__sched_fork.constprop.26
       ftrace.sh-2200  [000] ....1.. 182354.728812: hrtimer_init <-init_dl_inactive_task_timer
       ftrace.sh-2200  [000] ....1.. 182354.728813: __hrtimer_init <-hrtimer_init
       ftrace.sh-2200  [000] ....1.. 182354.728815: __dl_clear_params <-__sched_fork.constprop.26
       ftrace.sh-2200  [000] ....1.. 182354.728818: init_entity_runnable_average <-sched_fork
       ftrace.sh-2200  [000] d...1.. 182354.728819: preempt_count_add <-sched_fork
       ftrace.sh-2200  [000] d...2.. 182354.728822: task_fork_fair <-sched_fork
       ftrace.sh-2200  [000] d...2.. 182354.728823: preempt_count_add <-task_fork_fair
       ftrace.sh-2200  [000] d...3.. 182354.728825: update_rq_clock <-task_fork_fair
       ftrace.sh-2200  [000] d...3.. 182354.728828: update_curr <-task_fork_fair
       ftrace.sh-2200  [000] d...3.. 182354.728829: update_min_vruntime <-update_curr
       ftrace.sh-2200  [000] d...3.. 182354.728831: cpuacct_charge <-update_curr
       ftrace.sh-2200  [000] d...3.. 182354.728832: __rcu_read_lock <-cpuacct_charge
       ftrace.sh-2200  [000] d...3.. 182354.728835: __rcu_read_unlock <-cpuacct_charge
       ftrace.sh-2200  [000] d...3.. 182354.728837: sched_slice <-task_fork_fair
       ftrace.sh-2200  [000] d...3.. 182354.728839: __calc_delta <-sched_slice
       ftrace.sh-2200  [000] d...3.. 182354.728843: __calc_delta <-sched_slice
       ftrace.sh-2200  [000] d...3.. 182354.728845: __calc_delta <-sched_slice
       ftrace.sh-2200  [000] d...3.. 182354.728847: preempt_count_sub <-task_fork_fair
       ftrace.sh-2200  [000] ....2.. 182354.728849: preempt_count_sub <-sched_fork
       ftrace.sh-2200  [000] ....1.. 182354.728851: preempt_count_sub <-sched_fork
       ftrace.sh-2200  [000] ....... 182354.728853: __rt_mutex_init <-perf_event_init_task
       ftrace.sh-2200  [000] ....... 182354.728854: __mutex_do_init <-perf_event_init_task
       ftrace.sh-2200  [000] ....... 182354.728857: audit_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728858: security_task_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728860: copy_semundo <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728863: dup_fd <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728864: kmem_cache_alloc <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728867: __rt_mutex_init <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728868: __rt_spin_lock_init <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728869: __init_waitqueue_head <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728871: __rt_mutex_init <-__init_waitqueue_head
       ftrace.sh-2200  [000] ....... 182354.728872: __rt_spin_lock_init <-__init_waitqueue_head
       ftrace.sh-2200  [000] ....... 182354.728873: rt_spin_lock <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728875: rt_spin_unlock <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728877: alloc_fdtable <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728879: kmem_cache_alloc_trace <-alloc_fdtable
       ftrace.sh-2200  [000] ....... 182354.728880: kvmalloc_node <-alloc_fdtable
       ftrace.sh-2200  [000] ....... 182354.728882: __kmalloc <-kvmalloc_node
       ftrace.sh-2200  [000] ....... 182354.728883: kmalloc_slab <-__kmalloc
       ftrace.sh-2200  [000] ....... 182354.728886: kvmalloc_node <-alloc_fdtable
       ftrace.sh-2200  [000] ....... 182354.728888: __kmalloc <-kvmalloc_node
       ftrace.sh-2200  [000] ....... 182354.728889: kmalloc_slab <-__kmalloc
       ftrace.sh-2200  [000] ....... 182354.728891: rt_spin_lock <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728893: copy_fd_bitmaps <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728906: rt_spin_unlock <-dup_fd
       ftrace.sh-2200  [000] ....... 182354.728907: copy_fs_struct <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728908: kmem_cache_alloc <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728910: __rt_mutex_init <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728912: __rt_spin_lock_init <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728913: rt_spin_lock <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728914: path_get <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728916: mntget <-path_get
       ftrace.sh-2200  [000] ....... 182354.728917: mntget.part.1 <-mntget
       ftrace.sh-2200  [000] ....... 182354.728918: preempt_count_add <-mntget.part.1
       ftrace.sh-2200  [000] ....1.. 182354.728919: preempt_count_sub <-mntget.part.1
       ftrace.sh-2200  [000] ....... 182354.728921: rt_spin_lock <-lockref_get
       ftrace.sh-2200  [000] ....... 182354.728922: rt_spin_unlock <-lockref_get
       ftrace.sh-2200  [000] ....... 182354.728923: path_get <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728925: mntget <-path_get
       ftrace.sh-2200  [000] ....... 182354.728926: mntget.part.1 <-mntget
       ftrace.sh-2200  [000] ....... 182354.728927: preempt_count_add <-mntget.part.1
       ftrace.sh-2200  [000] ....1.. 182354.728928: preempt_count_sub <-mntget.part.1
       ftrace.sh-2200  [000] ....... 182354.728929: rt_spin_lock <-lockref_get
       ftrace.sh-2200  [000] ....... 182354.728931: rt_spin_unlock <-lockref_get
       ftrace.sh-2200  [000] ....... 182354.728932: rt_spin_unlock <-copy_fs_struct
       ftrace.sh-2200  [000] ....... 182354.728934: kmem_cache_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728942: kmem_cache_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728945: __init_waitqueue_head <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728946: __rt_mutex_init <-__init_waitqueue_head
       ftrace.sh-2200  [000] ....... 182354.728947: __rt_spin_lock_init <-__init_waitqueue_head
       ftrace.sh-2200  [000] ....... 182354.728949: __rt_mutex_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728950: __rt_spin_lock_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728951: hrtimer_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728952: __hrtimer_init <-hrtimer_init
       ftrace.sh-2200  [000] ....... 182354.728954: rt_spin_lock <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728956: rt_spin_unlock <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728958: tty_audit_fork <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728960: sched_autogroup_fork <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728961: __lock_task_sighand <-sched_autogroup_fork
       ftrace.sh-2200  [000] ....... 182354.728963: __rcu_read_lock <-__lock_task_sighand
       ftrace.sh-2200  [000] ....... 182354.728964: rt_spin_lock <-__lock_task_sighand
       ftrace.sh-2200  [000] ....... 182354.728965: __rcu_read_unlock <-__lock_task_sighand
       ftrace.sh-2200  [000] ....... 182354.728967: rt_spin_unlock <-sched_autogroup_fork
       ftrace.sh-2200  [000] ....... 182354.728969: __rt_mutex_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728970: __mutex_do_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728972: kmem_cache_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728976: mm_init <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.728977: __rt_mutex_init <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728979: __rwsem_init <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728981: __rt_mutex_init <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728982: __rt_spin_lock_init <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728983: __rt_mutex_init <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728984: __rt_spin_lock_init <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728986: pgd_alloc <-mm_init
       ftrace.sh-2200  [000] ....... 182354.728988: __get_free_pages <-pgd_alloc
       ftrace.sh-2200  [000] ....... 182354.728989: __alloc_pages_nodemask <-__get_free_pages
       ftrace.sh-2200  [000] ....... 182354.728990: get_page_from_freelist <-__alloc_pages_nodemask
       ftrace.sh-2200  [000] ....... 182354.728991: __zone_watermark_ok <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728992: rt_spin_lock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728994: rt_spin_lock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728995: __rmqueue <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728998: rt_spin_unlock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.728999: preempt_count_add <-get_page_from_freelist
       ftrace.sh-2200  [000] ....1.. 182354.729000: preempt_count_sub <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.729001: rt_spin_unlock <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.729003: kernel_poison_pages <-get_page_from_freelist
       ftrace.sh-2200  [000] ....... 182354.729005: page_address <-__get_free_pages
       ftrace.sh-2200  [000] ....... 182354.729040: uprobe_start_dup_mmap <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729041: preempt_count_add <-uprobe_start_dup_mmap
       ftrace.sh-2200  [000] ....1.. 182354.729043: preempt_count_sub <-uprobe_start_dup_mmap
       ftrace.sh-2200  [000] ....... 182354.729044: down_write_killable <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729045: __down_write_killable <-down_write_killable
       ftrace.sh-2200  [000] ....... 182354.729046: __down_write_common <-__down_write_killable
       ftrace.sh-2200  [000] ....... 182354.729048: __rt_mutex_lock_state <-__down_write_common
       ftrace.sh-2200  [000] d...... 182354.729049: preempt_count_add <-__down_write_common
       ftrace.sh-2200  [000] ....1.. 182354.729050: preempt_count_sub <-__down_write_common
       ftrace.sh-2200  [000] ....... 182354.729052: flush_cache_mm <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729053: uprobe_dup_mmap <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729054: down_write <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729055: __down_write <-down_write
       ftrace.sh-2200  [000] ....... 182354.729057: __down_write_common <-__down_write
       ftrace.sh-2200  [000] ....... 182354.729058: __rt_mutex_lock_state <-__down_write_common
       ftrace.sh-2200  [000] d...... 182354.729059: preempt_count_add <-__down_write_common
       ftrace.sh-2200  [000] ....1.. 182354.729060: preempt_count_sub <-__down_write_common
       ftrace.sh-2200  [000] ....... 182354.729061: get_mm_exe_file <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729063: __rcu_read_lock <-get_mm_exe_file
       ftrace.sh-2200  [000] ....... 182354.729065: __rcu_read_unlock <-get_mm_exe_file
       ftrace.sh-2200  [000] ....... 182354.729067: kmem_cache_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729070: dup_userfaultfd <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729073: anon_vma_fork <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729075: vma_do_get_file <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729077: down_write <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729078: __down_write <-down_write
       ftrace.sh-2200  [000] ....... 182354.729079: __down_write_common <-__down_write
       ftrace.sh-2200  [000] ....... 182354.729080: __rt_mutex_lock_state <-__down_write_common
       ftrace.sh-2200  [000] d...... 182354.729081: preempt_count_add <-__down_write_common
       ftrace.sh-2200  [000] ....1.. 182354.729084: preempt_count_sub <-__down_write_common
       ftrace.sh-2200  [000] ....... 182354.729086: rt_spin_lock <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729087: vma_interval_tree_insert_after <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729090: rt_spin_unlock <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729091: up_write <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729092: __up_write <-up_write
       ftrace.sh-2200  [000] d...... 182354.729094: preempt_count_add <-__up_write
       ftrace.sh-2200  [000] d...1.. 182354.729095: __up_write_unlock <-__up_write
       ftrace.sh-2200  [000] ....1.. 182354.729096: preempt_count_sub <-__up_write_unlock
       ftrace.sh-2200  [000] ....... 182354.729097: __rt_mutex_unlock <-__up_write_unlock
       ftrace.sh-2200  [000] ....... 182354.729100: __vma_link_rb <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729101: vma_gap_update <-__vma_link_rb
       ftrace.sh-2200  [000] ....... 182354.729103: vma_compute_subtree_gap <-vma_gap_update
       ftrace.sh-2200  [000] ....... 182354.729106: copy_page_range <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729109: security_vm_enough_memory_mm <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729111: cap_vm_enough_memory <-security_vm_enough_memory_mm
       ftrace.sh-2200  [000] ....... 182354.729113: cap_capable <-cap_vm_enough_memory
       ftrace.sh-2200  [000] ....... 182354.729115: __vm_enough_memory <-security_vm_enough_memory_mm
       ftrace.sh-2200  [000] ....... 182354.729116: preempt_count_add <-__vm_enough_memory
       ftrace.sh-2200  [000] ....1.. 182354.729118: preempt_count_sub <-__vm_enough_memory
       ftrace.sh-2200  [000] ....... 182354.729121: kmem_cache_alloc <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729122: dup_userfaultfd <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729124: anon_vma_fork <-copy_process.part.5
       ftrace.sh-2200  [000] ....... 182354.729125: anon_vma_clone <-anon_vma_fork
